state,district,alt_district_names,GHI_kWhperm2_day,wind_energy_kWhperm2_100m_day,wind_energy_kWhperm2_150m_day,wind_energy_kWhperm2_200m_day,avg_temp_C,min_temp_C,max_temp_C,population_oct25,per_capita_consumption_kWh,total_energy_consumption_district_yearly_MW,dist_to_nearest_substation_km,dist_to_nearest_plant_km,total_area_km2,shrubland_area_km2,Grassland_km2,Cropland_km2,Builtup_km2,vegetation_km2,water_bodies_km2,Herbaceous_km2,Mangroves_km2,snow_ice_km2,moss&lichen_km2
Karnataka,Belgaum,,5.355535555,1.251419074,1.698501732,2.113326917,24.76596572,15.02432095,35.28963935,5281860,1375.562323,829.3981293,26.47557183,143.1574076,13842.13423,1286.404052,1301.715295,8090.404181,253.2692709,70.02494523,177.3638787,2.13044836,,,
Karnataka,Bellary,,5.463569522,1.654964083,2.2124715,2.741679635,25.98855729,17.11752232,36.67692174,2069184,1375.562323,324.9191267,17.0954296,169.9704819,8700.516897,1896.196476,226.9645047,5809.552651,179.0599613,91.2516167,90.5344141,39.97436107,,,
Karnataka,Bidar,,5.293158374,1.143246274,1.651058011,2.146620889,25.81436358,13.87176835,40.50110506,1273783,1375.562323,200.019167,64.65771045,100.8109444,5694.324916,353.49522,295.0958508,4639.447105,120.4274116,15.07405264,81.63874702,,,,
Karnataka,Bijapur,,5.353904222,1.285839522,1.751795417,2.211394097,26.78624278,15.54370551,38.20101008,2814591,1375.562323,441.9686456,1.39824939,158.1493015,10916.83504,302.3339147,1013.819797,8746.783035,184.5057013,123.2325731,200.5693843,6.385799259,,,
Karnataka,Chamrajnagar,,5.303692066,1.71877465,2.168216401,2.572755769,23.53211408,16.03149414,33.41225159,1083681,1375.562323,170.1678943,72.02028517,96.05559996,5765.44819,325.8225132,1359.860154,1569.721604,81.23518191,6.316092558,12.0215476,0.000170641,,,
Karnataka,Chikballapura,,5.464602832,1.462851197,1.978695303,2.469980561,23.87712844,15.26664063,35.49947917,1573652,1375.562323,247.1068951,43.08468901,48.76351321,4339.208657,863.5005824,164.580506,2916.074186,99.0249803,33.71014327,24.42319721,0.080542381,,,
Karnataka,Chikmagalur,Chikmaglur|Kadur,5.224691982,1.020361701,1.35579446,1.650712244,22.69096821,15.38070068,32.72676799,1701473,1375.562323,267.178328,51.22766065,141.2036864,7371.819734,232.6867679,955.7673402,1278.975212,83.45922666,10.45011796,98.69462003,0.11236686,,,
Karnataka,Chitradurga,Chitaldroog|Chitaldrug,5.461192452,1.481088197,1.993778354,2.481080206,24.91771459,16.59884601,36.35004952,1894223,1375.562323,297.4454099,6.421690013,154.7064557,8671.473946,2264.382661,384.4873139,4820.026023,136.0118504,58.91316819,82.28564568,0.075593802,,,
Karnataka,DakshinaKannada,,5.100440037,0.262599916,0.367518427,0.462414546,25.53389656,-4.15E+36,-4.15E+36,3952265,1375.562323,620.6149344,63.05734044,60.95067217,4666.901306,0.025169494,152.8333485,35.18592882,102.1572598,5.630373156,48.13934494,0.852349985,1.874572724,,
Karnataka,Davanagere,,5.412784421,1.380543175,1.898368077,2.391951485,24.68701398,16.16499153,35.52728325,2076175,1375.562323,326.0169071,20.38604271,131.6131748,6802.270857,748.8198355,273.6168871,3917.388499,151.8136854,15.89577263,63.51944156,2.195462443,,,
Karnataka,Dharwad,"Dhawad,Dharwar",5.351127021,1.341153178,1.846935797,2.319955966,24.66374177,15.81147492,35.31510104,1489763,1375.562323,233.9340015,23.09116416,126.5266019,4406.342864,281.7295696,147.7141294,3346.119052,122.516053,13.18335438,14.78677913,0.166630583,,,
Karnataka,Gadag,,5.381394778,1.510970373,2.073309823,2.60840251,25.29689724,16.08939521,36.32713992,979723,1375.562323,153.8436126,2.549047574,159.6449552,4791.240484,469.9786999,311.1053554,3791.394107,86.91444361,18.77618659,21.25107308,0.395544998,,,
Karnataka,Gulbarga,,5.296496762,1.0104478,1.450314781,1.884759793,26.74606725,15.17146855,40.14799559,2239964,1375.562323,351.7363109,47.6231964,106.6036642,11443.51105,446.1183608,458.3226646,9792.802293,208.6112509,43.20228469,120.4243401,0.191288155,,,
Karnataka,Hassan,,5.316764141,1.079851897,1.474852536,1.83794108,22.52350184,15.31201803,32.88026586,2788396,1375.562323,437.8553059,14.04813943,113.5328942,6951.708968,247.5952138,940.7844097,2760.518437,155.7001965,11.01033118,105.0808459,0.857895805,,,
